date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:39:12	14198/14198	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2022:39:12%20GMT	https://ais.osym.gov.tr/Yetki/Giris?ReturnUrl=%2FYetki%2FPOST	C:/ais/ais/ais.osym.gov.tr/Yetki/Giris5455.html	(from http://kendo.cdn.telerik.com/2015.1.429/js/kendo.web.min.js)
01:39:13	361/361	---M--	302	error ('Found')	text/html	date:Thu,%2027%20Jan%202022%2022:39:13%20GMT	https://ais.osym.gov.tr/Yetki/EDevletLogin	C:/ais/ais/ais.osym.gov.tr/Yetki/EDevletLogin.37.delayed	(from https://ais.osym.gov.tr/Yetki/SifremiUnuttum)
01:39:14	380/380	---M--	302	error ('Found')	text/html	date:Thu,%2027%20Jan%202022%2022:39:14%20GMT	https://ais.osym.gov.tr/Yetki/EDevletLogin?giristuru=edevletileadaykayit	C:/ais/ais/ais.osym.gov.tr/Yetki/EDevletLogin.3886c5.delayed	(from https://ais.osym.gov.tr/Yetki/SifremiUnuttum)
01:39:14	1028/1028	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Jan%202022%2022:39:13%20GMT	https://ais.osym.gov.tr/Yetki/GetCaptchaImage	C:/ais/ais/ais.osym.gov.tr/Yetki/GetCaptchaImage.png	(from https://ais.osym.gov.tr/Yetki/SifremiUnuttum)
01:39:14	1444/1444	---M--	200	added ('OK')	image/png	etag:%222047d368f76d41:0%22	https://ais.osym.gov.tr/Content/Images/icon-refresh.png	C:/ais/ais/ais.osym.gov.tr/Content/Images/icon-refresh.png	(from https://ais.osym.gov.tr/Yetki/SifremiUnuttum)
01:39:15	1117/1117	---M--	200	added ('OK')	image/png	etag:%2270ed1b368f76d41:0%22	https://ais.osym.gov.tr/Content/Images/icon-volume-up.png	C:/ais/ais/ais.osym.gov.tr/Content/Images/icon-volume-up.png	(from https://ais.osym.gov.tr/Yetki/SifremiUnuttum)
01:39:16	179/179	---M--	404	error ('Not%20Found')	text/html	etag:%2261e7bed4-b3%22	http://kendo.cdn.telerik.com/robots.txt		(from http://kendo.cdn.telerik.com/2015.1.429/styles/kendo.common.min.css)
01:40:02	0/-1	---M--	302	error ('')			https://ais.osym.gov.tr/Yetki/EDevletLogin	C:/ais/ais/ais.osym.gov.tr/Yetki/EDevletLogin.3c.delayed	(from https://ais.osym.gov.tr/Yetki/Giris?ReturnUrl=%2FYetki%2FGET)
01:40:02	0/-1	---M--	302	error ('')			https://ais.osym.gov.tr/Yetki/EDevletLogin?giristuru=edevletileadaykayit	C:/ais/ais/ais.osym.gov.tr/Yetki/EDevletLogin.3d86c5.delayed	(from https://ais.osym.gov.tr/Yetki/Giris?ReturnUrl=%2FYetki%2FGET)
01:40:02	0/-1	---M--	302	error ('')			https://ais.osym.gov.tr/Yetki/EDevletLogin	C:/ais/ais/ais.osym.gov.tr/Yetki/EDevletLogin.3e.delayed	(from https://ais.osym.gov.tr/Yetki/Giris?ReturnUrl=%2FYetki%2FPOST)
01:40:02	0/-1	---M--	302	error ('')			https://ais.osym.gov.tr/Yetki/EDevletLogin?giristuru=edevletileadaykayit	C:/ais/ais/ais.osym.gov.tr/Yetki/EDevletLogin.3f86c5.delayed	(from https://ais.osym.gov.tr/Yetki/Giris?ReturnUrl=%2FYetki%2FPOST)
